"Day","Mkt-RF","SMB","HML","RF"
"19480706","0.12","0.12","0.23","0.004"
"19480707","-0.28","0.01","0.05","0.004"
"19480708","0.05","-0.13","0.2","0.004"
"19480709","0.57","0.09","0.24","0.004"
"19480712","-0.03","0.26","0.42","0.004"
"19480713","-0.46","0.04","0.04","0.004"
"19480714","0.13","-0.23","0.28","0.004"
"19480715","-1.62","0.23","-1.14","0.004"
"19480716","-1.4","0.08","-0.38","0.004"
"19480719","-3.17","-0.08","-0.75","0.004"
"19480720","1.43","-0.19","0.51","0.004"
"19480721","0.52","0.1","-0.17","0.004"
"19480722","0.63","-0.21","0.18","0.004"
"19480723","0.34","-0.01","-0.05","0.004"
"19480726","-0.71","0.2","-0.47","0.004"
"19480727","0.86","-0.87","0.58","0.004"
"19480728","-0.41","0.41","0.18","0.004"
"19480729","-0.73","0.21","-0.12","0.004"
"19480730","-1.44","-0.03","-0.06","0.004"
"19480802","-0.02","-0.27","-0.08","0.004"
"19480803","0.1","0.02","0.2","0.004"
"19480804","1.29","-0.6","0.61","0.004"
"19480805","-0.16","0.17","-0.32","0.004"
"19480806","0.09","-0.29","0.37","0.004"
"19480809","-0.81","0.23","-0.42","0.004"
"19480810","-0.94","0.16","-0.5","0.004"
"19480811","-0.74","-0.76","-0.33","0.004"
"19480812","0.36","0.22","-0.11","0.004"
"19480813","-0.01","0.08","-0.23","0.004"
"19480816","0.11","-0.19","-0.1","0.004"
"19480817","1.02","-0.13","0.45","0.004"
"19480818","0.01","0.3","-0.3","0.004"
"19480819","0.18","-0.47","0.32","0.004"
"19480820","0.67","-0.25","0.21","0.004"
"19480823","-1.02","0.32","-0.41","0.004"
"19480824","0.32","-0.11","0.45","0.004"
"19480825","-0.17","0.13","-0.3","0.004"
"19480826","0.11","-0.18","0.11","0.004"
"19480827","0.5","-0.06","0.31","0.004"
"19480830","-0.45","0.39","-0.02","0.004"
"19480831","-0.15","0.15","0.4","0.004"
"19480901","1.24","-0.15","0.57","0.002"
"19480902","0.68","-0.01","0.24","0.002"
"19480903","-0.06","-0.14","-0.21","0.002"
"19480907","0.41","-0.18","0.41","0.002"
"19480908","-1.45","0.2","-1.1","0.002"
"19480909","-1.63","0.04","-0.68","0.002"
"19480910","-0.06","-0.33","0","0.002"
"19480913","-0.74","0.29","-0.06","0.002"
"19480914","0.79","-0.38","0.36","0.002"
"19480915","-0.07","0.37","-0.18","0.002"
"19480916","0.04","-0.11","0.2","0.002"
"19480917","-0.49","-0.02","-0.35","0.002"
"19480920","-1.81","-0.09","-1.08","0.002"
"19480921","0.61","-0.63","0.36","0.002"
"19480922","0.5","0.12","0.5","0.002"
"19480923","-0.33","0.31","-0.34","0.002"
"19480924","0.17","-0.25","0.02","0.002"
"19480927","-2.3","0.22","-1.18","0.002"
"19480928","0.92","-0.66","0.41","0.002"
"19480929","0.96","-0.08","0.36","0.002"
"19480930","-0.33","0.2","0.07","0.002"
"19481001","1","-0.56","0.21","0.002"
"19481002","0.52","0.11","0.42","0.002"
"19481004","0.54","-0.03","-0.01","0.002"
"19481005","-0.36","-0.03","-0.37","0.002"
"19481006","0.33","0.05","0.23","0.002"
"19481007","0.56","-0.08","0.15","0.002"
"19481008","-0.17","0","-0.16","0.002"
"19481009","0.06","0.06","0.1","0.002"
"19481011","-0.04","-0.18","-0.57","0.002"
"19481013","0.95","-0.28","0.63","0.002"
"19481014","0.32","0.11","0.01","0.002"
"19481015","-0.06","0.01","0.02","0.002"
"19481016","0.22","-0.08","0.24","0.002"
"19481018","0.27","-0.01","0.18","0.002"
"19481019","0.4","-0.1","0.15","0.002"
"19481020","0.47","0.26","0.21","0.002"
"19481021","0.13","0.13","0.38","0.002"
"19481022","1.37","-0.12","0.45","0.002"
"19481023","0.31","0.18","0.15","0.002"
"19481025","-0.54","-0.02","-0.62","0.002"
"19481026","-0.06","-0.14","-0.21","0.002"
"19481027","-0.15","-0.22","-0.55","0.002"
"19481028","-0.67","-0.02","-0.4","0.002"
"19481029","0.21","-0.34","-0.19","0.002"
"19481030","0.23","-0.11","0.13","0.002"
"19481101","0.78","0.19","0.36","0.002"
"19481103","-4.43","-0.76","-1.61","0.002"
"19481104","1.51","0.67","0.12","0.002"
"19481105","-3.94","0.11","-1.75","0.002"
"19481106","0.36","0.03","0.44","0.002"
"19481108","0.2","-0.11","0.28","0.002"
"19481109","-3.01","0","-1.63","0.002"
"19481110","-0.19","-0.35","0.12","0.002"
"19481112","0.39","0.3","0.08","0.002"
"19481113","0.24","-0.03","-0.13","0.002"
"19481115","1.14","-0.2","0.53","0.002"
"19481116","0.31","0.05","0.01","0.002"
"19481117","-0.31","-0.06","-0.11","0.002"
"19481118","0.27","0.11","-0.25","0.002"
"19481119","0.41","-0.04","0.34","0.002"
"19481120","0.17","0.05","0.16","0.002"
"19481122","-0.63","0","-0.65","0.002"
"19481123","-0.23","-0.4","-0.05","0.002"
"19481124","-1.48","-0.11","-0.41","0.002"
"19481126","-0.03","-0.06","-0.11","0.002"
"19481127","-0.05","0.19","-0.09","0.002"
"19481129","-0.7","-0.01","-0.25","0.002"
"19481130","-0.31","-0.13","0.22","0.002"
"19481201","1.57","-0.45","0.72","0.002"
"19481202","0.36","0.34","0.18","0.002"
"19481203","0.55","-0.24","0.1","0.002"
"19481204","0.8","-0.2","0.42","0.002"
"19481206","0.13","-0.09","0.08","0.002"
"19481207","0.05","-0.03","-0.47","0.002"
"19481208","-0.16","0.01","-0.26","0.002"
"19481209","-0.27","-0.13","-0.35","0.002"
"19481210","0.17","-0.25","-0.22","0.002"
"19481211","0.74","-0.08","0.6","0.002"
"19481213","-0.05","0","0.06","0.002"
"19481214","-0.5","-0.24","-0.6","0.002"
"19481215","-0.35","0.02","-0.35","0.002"
"19481216","-0.24","-0.16","-0.42","0.002"
"19481217","0.2","-0.08","-0.07","0.002"
"19481218","-0.05","0.29","-0.17","0.002"
"19481220","0.1","-0.39","-0.3","0.002"
"19481221","-0.22","-0.03","0.03","0.002"
"19481222","0.02","-0.11","0.14","0.002"
"19481223","0.09","0.05","-0.01","0.002"
"19481224","0.66","-0.1","0.51","0.002"
"19481227","-0.38","-0.08","-0.75","0.002"
"19481228","-0.71","-0.77","0.19","0.002"
"19481229","1.12","-0.19","-0.15","0.002"
"19481230","0.07","0.13","-0.48","0.002"
"19481231","-0.47","-0.01","-0.28","0.002"
"19490103","-1.38","0.77","-0.13","0.004"
"19490104","0.42","0.29","0.81","0.004"
"19490105","1.01","0.18","0.25","0.004"
"19490106","1.99","0.13","0.34","0.004"
"19490107","0.8","0.75","0.17","0.004"
"19490108","0.05","0","-0.24","0.004"
"19490110","-0.69","0.13","-0.6","0.004"
"19490111","0.04","-0.07","0.02","0.004"
"19490112","-0.07","0.18","-0.05","0.004"
"19490113","-0.53","0.01","-0.12","0.004"
"19490114","-0.83","-0.27","-0.23","0.004"
"19490115","0.2","0.01","0.31","0.004"
"19490117","0.28","-0.21","-0.04","0.004"
"19490118","0.27","0.23","-0.03","0.004"
"19490119","0.29","-0.12","0.34","0.004"
"19490120","0.45","-0.03","0.07","0.004"
"19490121","-0.14","0.2","-0.04","0.004"
"19490122","0.15","0.07","-0.07","0.004"
"19490124","-0.32","0.04","0.31","0.004"
"19490125","-0.65","0.08","-0.15","0.004"
"19490126","-0.3","-0.15","0.27","0.004"
"19490127","-0.39","0","0.16","0.004"
"19490128","-0.4","-0.26","-0.38","0.004"
"19490129","0.17","-0.09","0.19","0.004"
"19490131","-0.14","-0.13","0.11","0.004"
"19490201","0.5","-0.33","-0.09","0.004"
"19490202","0.18","0.12","0.07","0.004"
"19490203","-0.24","0.02","-0.21","0.004"
"19490204","-1.32","0.14","-0.57","0.004"
"19490205","-1.48","0.11","-0.79","0.004"
"19490207","-0.71","-0.08","-0.24","0.004"
"19490208","-0.14","-0.28","0.41","0.004"
"19490209","0.59","-0.21","0.18","0.004"
"19490210","-1.18","0.19","-0.22","0.004"
"19490211","0","-0.4","0.16","0.004"
"19490214","0.16","-0.04","0.16","0.004"
"19490215","0.4","-0.12","-0.03","0.004"
"19490216","0.57","-0.34","0.06","0.004"
"19490217","0.85","-0.12","0.28","0.004"
"19490218","-0.21","0.22","-0.12","0.004"
"19490219","-0.13","-0.04","-0.09","0.004"
"19490221","-0.25","-0.17","-0.26","0.004"
"19490223","-0.71","-0.03","-0.52","0.004"
"19490224","-0.91","0.04","-0.29","0.004"
"19490225","-0.18","-0.09","0.36","0.004"
"19490226","0.42","0","0.2","0.004"
"19490228","0.87","-0.58","0.7","0.004"
"19490301","0.52","0.15","0.33","0.004"
"19490302","-0.01","0.05","-0.18","0.004"
"19490303","-0.06","0.28","-0.33","0.004"
"19490304","0.22","-0.35","-0.05","0.004"
"19490305","0.89","-0.06","0.32","0.004"
"19490307","0.49","0.13","0.25","0.004"
"19490308","0.35","0.2","0.07","0.004"
"19490309","-0.16","0.01","-0.21","0.004"
"19490310","0.11","-0.11","-0.05","0.004"
"19490311","0.92","-0.21","0.26","0.004"
"19490312","0.34","0.27","0.32","0.004"
"19490314","0","-0.16","-0.05","0.004"
"19490315","-0.63","0.23","-0.4","0.004"
"19490316","-0.38","-0.05","-0.07","0.004"
"19490317","0.38","-0.2","0.29","0.004"
"19490318","-0.22","0.26","-0.08","0.004"
"19490319","-0.03","0.14","0.01","0.004"
"19490321","-0.21","0.11","0.31","0.004"
"19490322","-0.75","-0.14","-1.02","0.004"
"19490323","0.95","-0.65","0.67","0.004"
"19490324","0.36","0.45","0.35","0.004"
"19490325","-0.5","-0.01","-0.34","0.004"
"19490326","0.07","0.15","0.06","0.004"
"19490328","0.1","0.03","-0.16","0.004"
"19490329","1.76","0.51","1.08","0.004"
"19490330","0.27","1.1","0.23","0.004"
"19490331","-0.79","0.27","-0.33","0.004"
"19490401","-0.64","0.01","-0.21","0.004"
"19490402","0.3","0.12","0.06","0.004"
"19490404","0.12","-0.29","0.03","0.004"
"19490405","0.05","0.06","-0.02","0.004"
"19490406","-0.2","-0.01","0.11","0.004"
"19490407","-0.26","-0.25","-0.13","0.004"
"19490408","0.15","-0.31","0.29","0.004"
"19490409","0.28","0.21","0.29","0.004"
"19490411","-0.21","0.17","-0.32","0.004"
"19490412","0.1","0.05","0.03","0.004"
"19490413","-0.05","-0.13","-0.26","0.004"
"19490414","-0.18","0","-0.08","0.004"
"19490416","0.3","-0.07","0.01","0.004"
"19490418","0.11","-0.4","-0.46","0.004"
"19490419","-0.32","0.11","-0.19","0.004"
"19490420","-0.19","-0.08","0.02","0.004"
"19490421","-1.47","0.01","-0.64","0.004"
"19490422","0.05","-0.1","0.21","0.004"
"19490423","0.4","0.08","0.21","0.004"
"19490425","-0.27","0.2","0.2","0.004"
"19490426","0.35","-0.03","0.27","0.004"
"19490427","0.06","-0.04","-0.39","0.004"
"19490428","-0.52","0.16","-0.36","0.004"
"19490429","-0.02","-0.34","-0.08","0.004"
"19490430","0.2","-0.04","0.27","0.004"
"19490502","0.15","-0.19","-0.08","0.004"
"19490503","0.37","-0.58","-0.16","0.004"
"19490504","0.95","0","0.21","0.004"
"19490505","0.04","0.24","-0.19","0.004"
"19490506","-0.37","-0.11","-0.2","0.004"
"19490507","-0.03","0.15","-0.05","0.004"
"19490509","-0.24","-0.17","-0.36","0.004"
"19490510","-0.17","-0.12","-0.2","0.004"
"19490511","0.15","0.1","0.11","0.004"
"19490512","0.26","0.02","0.19","0.004"
"19490513","0.11","-0.02","0.35","0.004"
"19490514","0.26","0.24","0.59","0.004"
"19490516","0.24","0.08","-0.06","0.004"
"19490517","-0.26","0.23","-0.43","0.004"
"19490518","-0.2","-0.04","0","0.004"
"19490519","-0.59","-0.19","-0.47","0.004"
"19490520","-0.39","-0.03","-0.28","0.004"
"19490521","0.02","0.28","0.11","0.004"
"19490523","-0.85","0.01","-0.14","0.004"
"19490524","-0.58","-0.17","-0.44","0.004"
"19490525","0.26","-0.42","0.42","0.004"
"19490526","0.09","0.29","-0.04","0.004"
"19490527","-0.18","-0.13","-0.07","0.004"
"19490531","-2.01","-0.27","-1.21","0.004"
"19490601","-0.24","-0.11","0.51","0.004"
"19490602","0.11","0.4","-0.29","0.004"
"19490603","-0.55","-0.17","0.11","0.004"
"19490606","-1.53","-0.09","-0.83","0.004"
"19490607","0.17","-0.01","0.39","0.004"
"19490608","0.67","0.12","0.5","0.004"
"19490609","-0.03","-0.07","-0.05","0.004"
"19490610","-0.72","-0.01","-0.71","0.004"
"19490613","-1.84","-0.56","-1.28","0.004"
"19490614","0.34","-0.32","0.16","0.004"
"19490615","1.68","-0.08","0.81","0.004"
"19490616","-0.15","0.43","-0.09","0.004"
"19490617","0.11","-0.19","-0.14","0.004"
"19490620","1.2","-0.57","0.58","0.004"
"19490621","0.17","0.28","-0.46","0.004"
"19490622","-0.11","0.02","-0.08","0.004"
"19490623","0.61","0.05","0.19","0.004"
"19490624","0.12","0.03","0.07","0.004"
"19490627","-0.04","0.04","-0.48","0.004"
"19490628","-0.85","-0.15","-0.09","0.004"
"19490629","0.58","-0.05","-0.15","0.004"
"19490630","0.49","0.11","-0.23","0.004"
"19490701","0.71","0.07","0.65","0.004"
"19490705","0.45","-0.04","-0.11","0.004"
"19490706","0.87","-0.07","0.45","0.004"
"19490707","-0.03","0.16","-0.34","0.004"
"19490708","0.02","0.27","-0.15","0.004"
"19490711","0.11","0.11","-0.22","0.004"
"19490712","0.5","-0.12","-0.02","0.004"
"19490713","0.97","-0.05","0.77","0.004"
"19490714","0.27","0.11","-0.06","0.004"
"19490715","-0.25","0","0.04","0.004"
"19490718","0.3","-0.08","0","0.004"
"19490719","0.72","-0.27","0.46","0.004"
"19490720","0.41","0.2","0.05","0.004"
"19490721","-0.38","0.18","-0.28","0.004"
"19490722","0.02","-0.03","-0.16","0.004"
"19490725","0.27","0.22","0.15","0.004"
"19490726","0.58","-0.1","0.27","0.004"
"19490727","0.14","0","-0.25","0.004"
"19490728","-0.18","-0.09","-0.65","0.004"
"19490729","-0.09","0.06","-0.22","0.004"
"19490801","0.52","-0.41","-0.03","0.004"
"19490802","0.31","0.04","0.25","0.004"
"19490803","-0.01","-0.03","-0.07","0.004"
"19490804","-0.03","-0.04","-0.16","0.004"
"19490805","1.15","-0.46","0.7","0.004"
"19490808","1.07","0.62","0.28","0.004"
"19490809","-0.37","0.44","-0.02","0.004"
"19490810","0.61","0.3","0.34","0.004"
"19490811","-0.25","0.33","-0.36","0.004"
"19490812","-0.27","-0.09","-0.25","0.004"
"19490815","-0.27","-0.04","-0.26","0.004"
"19490816","0.37","-0.34","0.01","0.004"
"19490817","1.04","-0.14","0.5","0.004"
"19490818","0.39","0.12","0.14","0.004"
"19490819","-0.45","0.3","-0.67","0.004"
"19490822","-0.35","-0.1","-0.03","0.004"
"19490823","-1.22","0.17","-0.38","0.004"
"19490824","0.09","0.02","-0.06","0.004"
"19490825","0.26","0.06","0.01","0.004"
"19490826","0.18","-0.22","-0.15","0.004"
"19490829","-0.69","0.09","-0.51","0.004"
"19490830","0.38","-0.31","0.05","0.004"
"19490831","0.14","-0.13","0.15","0.004"
"19490901","0.69","-0.08","0.15","0.004"
"19490902","0.05","-0.15","0.1","0.004"
"19490906","-0.14","-0.09","-0.45","0.004"
"19490907","0.63","-0.3","0.05","0.004"
"19490908","0.23","-0.03","0.04","0.004"
"19490909","-0.11","0.15","-0.3","0.004"
"19490912","0.83","-0.47","0.51","0.004"
"19490913","1.46","0.33","1.02","0.004"
"19490914","-0.1","0.37","-0.16","0.004"
"19490915","-0.51","0.22","-0.69","0.004"
"19490916","0.29","0.23","0.38","0.004"
"19490919","-0.64","0.15","-0.29","0.004"
"19490920","-2.2","0.14","-0.53","0.004"
"19490921","1.43","-0.2","0.72","0.004"
"19490922","0.61","0.3","0.61","0.004"
"19490923","0.44","-0.23","0.12","0.004"
"19490926","-0.25","0.09","-0.5","0.004"
"19490927","-0.7","0.26","-0.71","0.004"
"19490928","0.92","0.19","0.4","0.004"
"19490929","0.26","0.22","-0.21","0.004"
"19490930","-0.09","-0.13","0.01","0.004"
"19491001","-0.42","0.09","-0.09","0.004"
"19491003","0.49","-0.18","-0.16","0.004"
"19491004","0.83","0.32","-0.2","0.004"
"19491005","0.4","0.33","0.24","0.004"
"19491006","0.3","0.13","0.17","0.004"
"19491007","0.13","0.13","-0.17","0.004"
"19491008","0.1","0.42","0.14","0.004"
"19491010","-0.11","0.2","0.1","0.004"
"19491011","0.83","-0.19","0.68","0.004"
"19491013","0.04","0.04","0.13","0.004"
"19491014","-0.25","-0.03","-0.24","0.004"
"19491015","-0.08","0.4","-0.17","0.004"
"19491017","-0.99","-0.33","-0.45","0.004"
"19491018","0.78","0.16","0.36","0.004"
"19491019","0.43","0.06","0.12","0.004"
"19491020","-0.13","-0.19","-0.13","0.004"
"19491021","-0.09","0.15","-0.01","0.004"
"19491022","0.03","0.04","0.04","0.004"
"19491024","0","0.16","-0.13","0.004"
"19491025","0.44","-0.11","0.1","0.004"
"19491026","0.84","-0.11","0.12","0.004"
"19491027","0.44","0.17","0.35","0.004"
"19491028","-0.52","-0.24","-0.73","0.004"
"19491029","0.03","-0.33","-0.13","0.004"
"19491031","-0.39","-0.06","-0.38","0.004"
"19491101","0.74","-0.32","0.05","0.004"
"19491102","0.92","-0.52","0.35","0.004"
"19491103","-0.17","0.07","-0.04","0.004"
"19491104","0.01","-0.08","0.22","0.004"
"19491105","0.14","0.06","0.03","0.004"
"19491107","-0.21","0.07","-0.2","0.004"
"19491109","-0.07","-0.13","-1","0.004"
"19491110","-0.1","-0.26","-0.13","0.004"
"19491112","0","0.08","-0.16","0.004"
"19491114","-0.67","-0.07","-0.37","0.004"
"19491115","-0.62","-0.22","-0.31","0.004"
"19491116","0.54","0","0.11","0.004"
"19491117","0.77","0.07","-0.09","0.004"
"19491118","1.04","-0.27","0.32","0.004"
"19491119","0.22","0.44","0.13","0.004"
"19491121","-0.57","0.09","-0.1","0.004"
"19491122","0.32","-0.14","0.2","0.004"
"19491123","0.19","-0.13","0.08","0.004"
"19491125","-0.55","0.19","-0.24","0.004"
"19491126","0.11","-0.16","0.13","0.004"
"19491128","-0.37","0.43","-0.19","0.004"
"19491129","-0.1","-0.36","0.28","0.004"
"19491130","0.3","0.12","0","0.004"
"19491201","0.6","-0.03","0.47","0.004"
"19491202","0.94","0.13","0.77","0.004"
"19491203","0.67","0.23","0.47","0.004"
"19491205","0.2","0.23","-0.7","0.004"
"19491206","-0.09","0.09","-0.26","0.004"
"19491207","0.12","0.25","0.3","0.004"
"19491208","0.12","0.27","0.11","0.004"
"19491209","-0.01","0.05","-0.15","0.004"
"19491210","0.15","0.07","-0.19","0.004"
"19491212","0.57","-0.22","0.32","0.004"
"19491213","0.6","0.18","0.27","0.004"
"19491214","0.36","0.22","0.34","0.004"
"19491215","0.22","-0.22","-0.11","0.004"
"19491216","-0.08","0.34","0.02","0.004"
"19491217","-0.05","0.14","0.11","0.004"
"19491219","-0.2","-0.09","-0.02","0.004"
"19491220","-0.54","0","-0.74","0.004"
"19491221","-0.14","-0.24","-0.22","0.004"
"19491222","0.78","-0.12","0.37","0.004"
"19491223","0.19","0.28","0.06","0.004"
"19491227","-0.51","-0.47","-0.32","0.004"
"19491228","0.49","-0.02","0.31","0.004"
"19491229","0.21","0.21","0.15","0.004"
"19491230","0.47","0.29","0.37","0.004"
"19491231","-0.07","0.38","-0.03","0.004"
"19500103","-0.59","0.4","0.28","0.004"
"19500104","1.09","0.4","1.17","0.004"
"19500105","0.4","0.7","-0.11","0.004"
"19500106","0.24","0.43","0.07","0.004"
"19500107","0.64","0.58","0.46","0.004"
"19500109","0.13","0.64","0.44","0.004"
"19500110","-0.35","0","0.2","0.004"
"19500111","0.42","0.48","0.29","0.004"
"19500112","-1.82","-0.64","-1.75","0.004"
"19500113","-0.5","-0.21","0.41","0.004"
"19500114","0.15","0.82","-0.06","0.004"
"19500116","0.18","-0.17","-0.08","0.004"
"19500117","0.76","0.18","-0.07","0.004"
"19500118","-0.07","-0.09","0.17","0.004"
"19500119","0.18","-0.34","0.05","0.004"
"19500120","0.23","0.07","-0.45","0.004"
"19500121","0.11","-0.17","0.01","0.004"
"19500123","-0.19","-0.13","0.06","0.004"
"19500124","-0.32","-0.02","-0.58","0.004"
"19500125","-0.6","-0.22","-0.34","0.004"
"19500126","0.14","0.37","0.32","0.004"
"19500127","0.37","0.14","-0.14","0.004"
"19500128","0.33","0.22","-0.17","0.004"
"19500130","0.68","-0.08","0.3","0.004"
"19500131","0.14","-0.1","-0.21","0.004"
"19500201","0.01","-0.03","0","0.004"
"19500202","0.98","-0.09","-0.2","0.004"
"19500203","0.33","-0.37","0.3","0.004"
"19500204","0.24","0.06","-0.21","0.004"
"19500206","-0.24","-0.04","-0.01","0.004"
"19500207","-0.41","-0.37","-0.19","0.004"
"19500208","0.11","0.08","0.01","0.004"
"19500209","0.43","0.2","-0.09","0.004"
"19500210","-0.21","-0.05","-0.63","0.004"
"19500211","-0.07","0.42","-0.28","0.004"
"19500214","-0.62","0.33","-0.68","0.004"
"19500215","0.08","0.21","0.76","0.004"
"19500216","-0.16","-0.09","-0.3","0.004"
"19500217","0.64","0.1","0.47","0.004"
"19500218","0.42","0.22","0.42","0.004"
"19500220","-0.13","-0.08","0.06","0.004"
"19500221","-0.15","-0.12","-0.03","0.004"
"19500223","0.15","-0.13","-0.22","0.004"
"19500224","0.35","0.03","0.03","0.004"
"19500225","-0.08","0.04","0.11","0.004"
"19500227","0.14","-0.15","-0.06","0.004"
"19500228","-0.34","-0.15","-0.02","0.004"
"19500301","0.34","-0.06","0.24","0.004"
"19500302","0.04","-0.05","-0.17","0.004"
"19500303","0.37","0.07","0.5","0.004"
"19500304","0.27","0.22","0.11","0.004"
"19500306","0.06","-0.12","-0.22","0.004"
"19500307","-0.67","-0.6","-0.18","0.004"
"19500308","0.19","-0.18","0.11","0.004"
"19500309","-0.61","0.02","-0.3","0.004"
"19500310","-0.06","-0.22","-0.34","0.004"
"19500311","0.26","0.21","0.22","0.004"
"19500313","-0.05","0.02","-0.29","0.004"
"19500314","0.53","-0.29","0.12","0.004"
"19500315","1.31","0.05","0.68","0.004"
"19500316","0.29","0.09","0.01","0.004"
"19500317","-0.18","-0.38","-0.47","0.004"
"19500318","0.2","-0.06","0.2","0.004"
"19500320","-0.14","0.06","0","0.004"
"19500321","0.04","-0.24","-0.29","0.004"
"19500322","0.55","-0.34","0.09","0.004"
"19500323","0.07","-0.21","-0.31","0.004"
"19500324","-0.03","-0.34","-0.47","0.004"
"19500325","0.27","0.38","-0.35","0.004"
"19500327","-0.83","-0.1","-0.86","0.004"
"19500328","0.3","0.1","-0.11","0.004"
"19500329","-0.35","0.01","-0.03","0.004"
"19500330","-0.92","0.31","-0.78","0.004"
"19500331","0.04","0.2","0.12","0.004"
"19500401","0.27","0.27","0.61","0.004"
"19500403","0.87","-0.21","0.32","0.004"
"19500404","0.17","-0.19","-0.05","0.004"
"19500405","0.33","-0.11","-0.37","0.004"
"19500406","0.93","0.1","0.14","0.004"
"19500408","0.24","0.08","0.03","0.004"
"19500410","0.06","-0.02","0.11","0.004"
